               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.018582,           0.0086555,           0.0016494,             0.92554,             0.96371,             0.99277,             0.74561,            0.011852,           0.0036537,           0.0033109,            0.006304,            0.006304,            0.006304
                 114,            0.018593,           0.0086051,           0.0014197,             0.95055,             0.92395,             0.98156,             0.73357,            0.012128,           0.0036709,           0.0048311,            0.006271,            0.006271,            0.006271
                 115,            0.018499,           0.0085251,           0.0013522,             0.96549,             0.90928,             0.96232,             0.73859,            0.012198,           0.0036784,           0.0020884,            0.006238,            0.006238,            0.006238
                 116,            0.018488,           0.0086562,           0.0014066,             0.95358,             0.92601,             0.97311,             0.74523,            0.012292,           0.0036827,           0.0030115,            0.006205,            0.006205,            0.006205
                 117,            0.018583,           0.0086092,           0.0015027,             0.94466,             0.92437,             0.96294,             0.73954,            0.012382,           0.0036776,           0.0064082,            0.006172,            0.006172,            0.006172
                 118,            0.018439,           0.0083069,           0.0015627,             0.95625,             0.92427,             0.96169,             0.74239,            0.012537,           0.0036511,           0.0044533,            0.006139,            0.006139,            0.006139
                 119,            0.018614,           0.0084789,           0.0015683,             0.95342,             0.92619,             0.98136,             0.73774,            0.012591,           0.0036467,           0.0019392,            0.006106,            0.006106,            0.006106
                 120,            0.018388,           0.0083814,           0.0013513,              0.9382,             0.96614,             0.99279,             0.74028,             0.01254,           0.0036316,           0.0020474,            0.006073,            0.006073,            0.006073
                 121,            0.018252,           0.0082898,           0.0012283,             0.94096,              0.9788,             0.99187,             0.72977,            0.012512,            0.003624,           0.0017558,             0.00604,             0.00604,             0.00604
                 122,               0.018,           0.0083998,           0.0013815,             0.94369,             0.96926,             0.99031,             0.74709,            0.012505,           0.0036275,           0.0032584,            0.006007,            0.006007,            0.006007
                 123,            0.018356,           0.0084141,           0.0012665,             0.94688,              0.9166,             0.97046,             0.72449,            0.012422,           0.0036325,            0.010627,            0.005974,            0.005974,            0.005974
                 124,            0.018428,           0.0083235,           0.0012696,              0.8773,             0.91262,             0.92524,             0.71161,            0.012427,           0.0036356,            0.010108,            0.005941,            0.005941,            0.005941
                 125,            0.018285,            0.008289,           0.0013993,             0.94849,             0.97495,              0.9875,             0.74637,            0.012461,           0.0036619,           0.0088469,            0.005908,            0.005908,            0.005908
                 126,            0.018025,           0.0082833,            0.001363,             0.93278,             0.97274,              0.9879,             0.75519,            0.012429,           0.0036533,           0.0062817,            0.005875,            0.005875,            0.005875
                 127,            0.017896,           0.0083239,           0.0012004,             0.94711,             0.91651,             0.97388,             0.74777,             0.01241,           0.0036258,           0.0071329,            0.005842,            0.005842,            0.005842
                 128,            0.017981,           0.0083343,           0.0013006,             0.96462,             0.91826,             0.97601,             0.75577,            0.012298,           0.0035868,           0.0054487,            0.005809,            0.005809,            0.005809
                 129,            0.017852,           0.0082458,           0.0012717,              0.9475,              0.9795,             0.99117,             0.75898,            0.012138,           0.0035818,           0.0029358,            0.005776,            0.005776,            0.005776
                 130,            0.017718,           0.0081601,           0.0010316,             0.93649,             0.96894,             0.99242,             0.75751,            0.012115,           0.0035975,           0.0028544,            0.005743,            0.005743,            0.005743
                 131,            0.017919,           0.0080917,           0.0012184,             0.95482,              0.9233,             0.97101,             0.74649,            0.012095,           0.0036041,           0.0024041,             0.00571,             0.00571,             0.00571
                 132,            0.017858,           0.0082456,           0.0015534,             0.95774,              0.9245,             0.97935,             0.73667,            0.011935,            0.003601,           0.0020131,            0.005677,            0.005677,            0.005677
                 133,            0.018063,           0.0081255,           0.0010487,             0.95104,             0.98936,             0.99229,             0.74572,             0.01193,           0.0036043,           0.0017803,            0.005644,            0.005644,            0.005644
                 134,             0.01809,            0.008412,           0.0016511,             0.93032,             0.99383,             0.99188,             0.76057,            0.011973,           0.0036115,           0.0018052,            0.005611,            0.005611,            0.005611
                 135,            0.017855,           0.0083296,           0.0013005,             0.93695,             0.96756,             0.99094,             0.74504,            0.012034,           0.0035993,           0.0022381,            0.005578,            0.005578,            0.005578
                 136,            0.017966,           0.0082437,           0.0016583,             0.92776,             0.96653,             0.99006,             0.75317,            0.012054,           0.0035923,           0.0026981,            0.005545,            0.005545,            0.005545
                 137,            0.018554,           0.0084257,           0.0021517,             0.93294,             0.97948,             0.99101,             0.76059,            0.012029,           0.0035804,           0.0023569,            0.005512,            0.005512,            0.005512
                 138,            0.017899,           0.0083291,           0.0013868,             0.93169,             0.95975,              0.9929,             0.75867,            0.012048,            0.003582,           0.0017901,            0.005479,            0.005479,            0.005479
                 139,            0.018341,           0.0083527,           0.0017914,             0.93536,             0.94364,             0.99323,             0.74895,            0.012122,           0.0035897,           0.0017307,            0.005446,            0.005446,            0.005446
                 140,            0.017898,           0.0082484,           0.0013376,             0.94061,             0.97117,             0.99384,             0.74994,            0.012111,           0.0035832,           0.0015603,            0.005413,            0.005413,            0.005413
                 141,            0.017932,           0.0081435,           0.0013711,             0.94833,              0.9902,             0.99422,             0.75312,            0.012045,           0.0035744,           0.0013585,             0.00538,             0.00538,             0.00538
                 142,            0.017811,           0.0081565,           0.0010171,             0.92645,             0.99322,             0.99414,              0.7544,            0.012048,           0.0035768,           0.0014029,            0.005347,            0.005347,            0.005347
                 143,            0.017142,           0.0080476,          0.00095559,             0.93725,             0.99193,             0.99352,             0.75434,            0.012108,            0.003581,           0.0015926,            0.005314,            0.005314,            0.005314
                 144,            0.017437,           0.0080995,           0.0013195,             0.93407,             0.99272,             0.99402,              0.7544,            0.012108,           0.0035766,           0.0013344,            0.005281,            0.005281,            0.005281
                 145,            0.017606,           0.0081209,            0.001229,             0.95162,             0.98756,              0.9932,             0.75965,            0.012076,           0.0035837,           0.0015535,            0.005248,            0.005248,            0.005248
                 146,            0.017855,           0.0081844,           0.0009213,             0.95531,              0.9798,             0.99272,             0.76155,            0.012054,           0.0035862,           0.0015602,            0.005215,            0.005215,            0.005215
                 147,            0.017444,           0.0079121,           0.0011619,             0.95516,             0.97523,             0.99248,             0.75949,            0.012098,           0.0035971,           0.0014811,            0.005182,            0.005182,            0.005182
                 148,            0.017621,           0.0081498,            0.001268,             0.96953,             0.92472,             0.97984,             0.75314,            0.012144,           0.0035963,           0.0014885,            0.005149,            0.005149,            0.005149
                 149,             0.01735,           0.0081961,           0.0011949,             0.90725,             0.98746,             0.96682,             0.74775,            0.012135,            0.003591,            0.001826,            0.005116,            0.005116,            0.005116
                 150,              0.0173,            0.007988,           0.0013003,              0.9088,             0.98944,             0.96691,             0.74723,            0.012142,           0.0035867,           0.0019627,            0.005083,            0.005083,            0.005083
                 151,            0.017461,           0.0081848,           0.0011723,             0.91078,             0.98862,             0.95472,             0.73705,            0.012115,            0.003576,           0.0020258,             0.00505,             0.00505,             0.00505
                 152,            0.017832,           0.0081734,           0.0013799,             0.91077,             0.98919,             0.95484,             0.73962,            0.012143,            0.003571,           0.0019987,            0.005017,            0.005017,            0.005017
                 153,            0.017573,           0.0080333,            0.001188,              0.9027,             0.99129,             0.96739,             0.74242,            0.012137,           0.0035707,           0.0022013,            0.004984,            0.004984,            0.004984
                 154,            0.017384,            0.008168,           0.0010667,             0.90111,             0.99101,             0.96729,             0.74808,            0.012126,           0.0035714,           0.0023232,            0.004951,            0.004951,            0.004951
                 155,            0.017486,            0.008031,           0.0011112,             0.89362,             0.99322,             0.96765,             0.74807,            0.012123,           0.0035815,           0.0021572,            0.004918,            0.004918,            0.004918
                 156,            0.017259,           0.0081926,           0.0013779,             0.89237,             0.99322,             0.96775,             0.74892,            0.012129,           0.0035939,           0.0021804,            0.004885,            0.004885,            0.004885
